"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"Dijsktra",aucune,./src/resources/graphes/g/gAlea28.g,0,0.061,69.870,8.721,784,586
"A*",Manhattan,./src/resources/graphes/g/gAlea28.g,0,0.554,69.870,2.078,784,65
"A*",euclidienne,./src/resources/graphes/g/gAlea28.g,0,0.243,69.870,2.341,784,148
"Dijsktra",aucune,./src/resources/graphes/g/gAlea29.g,0,0.056,70.113,7.163,841,694
"A*",Manhattan,./src/resources/graphes/g/gAlea29.g,0,0.088,70.113,8.173,841,445
"A*",euclidienne,./src/resources/graphes/g/gAlea29.g,0,0.067,70.113,9.902,841,579
"Dijsktra",aucune,./src/resources/graphes/g/gAlea30.g,0,0.054,44.527,7.712,900,671
"A*",Manhattan,./src/resources/graphes/g/gAlea30.g,0,0.864,45.698,1.308,900,44
"A*",euclidienne,./src/resources/graphes/g/gAlea30.g,0,0.161,44.527,3.647,900,223
"Dijsktra",aucune,./src/resources/graphes/g/gAlea31.g,0,0.051,102.790,8.590,961,749
"A*",Manhattan,./src/resources/graphes/g/gAlea31.g,0,0.053,103.376,11.294,961,733
"A*",euclidienne,./src/resources/graphes/g/gAlea31.g,0,0.051,102.790,8.372,961,745
"Dijsktra",aucune,./src/resources/graphes/g/gAlea32.g,0,0.050,47.941,15.625,1024,774
"A*",Manhattan,./src/resources/graphes/g/gAlea32.g,0,0.631,49.113,3.224,1024,65
"A*",euclidienne,./src/resources/graphes/g/gAlea32.g,0,0.143,47.941,7.804,1024,273
"Dijsktra",aucune,./src/resources/graphes/g/gAlea33.g,0,0.040,578.113,12.681,1089,1069
"A*",Manhattan,./src/resources/graphes/g/gAlea33.g,0,0.051,578.113,10.123,1089,843
"A*",euclidienne,./src/resources/graphes/g/gAlea33.g,0,0.046,578.113,11.708,1089,937
"Dijsktra",aucune,./src/resources/graphes/g/gAlea34.g,0,0.042,81.376,10.231,1156,969
"A*",Manhattan,./src/resources/graphes/g/gAlea34.g,0,0.049,82.205,18.353,1156,845
"A*",euclidienne,./src/resources/graphes/g/gAlea34.g,0,0.044,81.376,11.125,1156,935
"Dijsktra",aucune,./src/resources/graphes/g/gAlea35.g,0,0.044,51.598,10.605,1225,928
"A*",Manhattan,./src/resources/graphes/g/gAlea35.g,0,0.737,52.184,3.308,1225,57
"A*",euclidienne,./src/resources/graphes/g/gAlea35.g,0,0.211,51.598,7.092,1225,194
"Dijsktra",aucune,./src/resources/graphes/g/gAlea36.g,0,0.041,573.104,19.062,1296,1039
"A*",Manhattan,./src/resources/graphes/g/gAlea36.g,0,0.050,573.104,16.960,1296,857
"A*",euclidienne,./src/resources/graphes/g/gAlea36.g,0,0.043,573.104,16.874,1296,997
"Dijsktra",aucune,./src/resources/graphes/g/gAlea37.g,0,0.042,54.770,19.427,1369,1083
"A*",Manhattan,./src/resources/graphes/g/gAlea37.g,0,0.833,55.598,3.498,1369,54
"A*",euclidienne,./src/resources/graphes/g/gAlea37.g,0,0.123,54.770,6.255,1369,366
"Dijsktra",aucune,./src/resources/graphes/g/gAlea38.g,0,0.041,55.012,14.988,1444,1084
"A*",Manhattan,./src/resources/graphes/g/gAlea38.g,0,0.900,55.598,2.559,1444,50
"A*",euclidienne,./src/resources/graphes/g/gAlea38.g,0,0.164,55.012,5.910,1444,269
"Dijsktra",aucune,./src/resources/graphes/g/gAlea39.g,0,0.040,57.012,22.254,1521,1159
"A*",Manhattan,./src/resources/graphes/g/gAlea39.g,0,0.836,57.012,4.631,1521,55
"A*",euclidienne,./src/resources/graphes/g/gAlea39.g,0,0.148,57.012,13.443,1521,310
"Dijsktra",aucune,./src/resources/graphes/g/gAlea40.g,0,0.038,77.841,21.770,1600,1252
"A*",Manhattan,./src/resources/graphes/g/gAlea40.g,0,0.272,78.083,7.411,1600,173
"A*",euclidienne,./src/resources/graphes/g/gAlea40.g,0,0.059,77.841,21.654,1600,819
"Dijsktra",aucune,./src/resources/graphes/g/gAlea41.g,0,0.036,58.669,24.107,1681,1270
"A*",Manhattan,./src/resources/graphes/g/gAlea41.g,0,0.902,59.497,2.010,1681,51
"A*",euclidienne,./src/resources/graphes/g/gAlea41.g,0,0.217,58.669,6.136,1681,212
"Dijsktra",aucune,./src/resources/graphes/g/gAlea42.g,0,0.037,79.841,28.873,1764,1359
"A*",Manhattan,./src/resources/graphes/g/gAlea42.g,0,0.164,81.012,11.466,1764,305
"A*",euclidienne,./src/resources/graphes/g/gAlea42.g,0,0.059,79.841,21.897,1764,852
"Dijsktra",aucune,./src/resources/graphes/g/gAlea43.g,0,0.028,577.669,30.212,1849,1838
"A*",Manhattan,./src/resources/graphes/g/gAlea43.g,0,0.042,586.012,30.841,1849,1487
"A*",euclidienne,./src/resources/graphes/g/gAlea43.g,0,0.033,577.669,32.743,1849,1592
"Dijsktra",aucune,./src/resources/graphes/g/gAlea44.g,0,0.041,105.255,35.876,1936,1490
"A*",Manhattan,./src/resources/graphes/g/gAlea44.g,0,0.435,107.841,5.101,1936,147
"A*",euclidienne,./src/resources/graphes/g/gAlea44.g,0,0.139,105.255,18.326,1936,438
"Dijsktra",aucune,./src/resources/graphes/g/gAlea45.g,0,0.028,581.669,34.338,2025,2019
