"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea67.g2,0,0.167,105.000,433.522,4489,634
"A*",Manhattan,./src/resources/graphes/g2/g2Alea68.g2,0,-1.000,Infinity,3.950,4624,1
"A*",euclidienne,./src/resources/graphes/g2/g2Alea68.g2,0,-1.000,Infinity,2.835,4624,1
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea68.g2,0,-1.000,Infinity,3.006,4624,1
"A*",Manhattan,./src/resources/graphes/g2/g2Alea69.g2,0,-1.000,Infinity,1163.138,4761,399
"A*",euclidienne,./src/resources/graphes/g2/g2Alea69.g2,0,-1.000,Infinity,1455.382,4761,524
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea69.g2,0,-1.000,Infinity,848.555,4761,353
"A*",Manhattan,./src/resources/graphes/g2/g2Alea70.g2,0,-1.000,Infinity,16971.884,4900,2413
"A*",euclidienne,./src/resources/graphes/g2/g2Alea70.g2,0,-1.000,Infinity,14953.356,4900,2413
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea70.g2,0,-1.000,Infinity,16771.119,4900,2413
"A*",Manhattan,./src/resources/graphes/g2/g2Alea71.g2,0,-1.000,Infinity,11.574,5041,20
"A*",euclidienne,./src/resources/graphes/g2/g2Alea71.g2,0,-1.000,Infinity,21.131,5041,28
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea71.g2,0,-1.000,Infinity,7.780,5041,25
"A*",Manhattan,./src/resources/graphes/g2/g2Alea72.g2,0,-1.000,Infinity,290.112,5184,277
"A*",euclidienne,./src/resources/graphes/g2/g2Alea72.g2,0,-1.000,Infinity,517.295,5184,371
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea72.g2,0,-1.000,Infinity,186.270,5184,282
"A*",Manhattan,./src/resources/graphes/g2/g2Alea73.g2,0,-1.000,Infinity,26.364,5329,56
"A*",euclidienne,./src/resources/graphes/g2/g2Alea73.g2,0,-1.000,Infinity,45.591,5329,65
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea73.g2,0,-1.000,Infinity,10.304,5329,68
"A*",Manhattan,./src/resources/graphes/g2/g2Alea74.g2,0,0.118,65.000,1812.181,5476,559
"A*",euclidienne,./src/resources/graphes/g2/g2Alea74.g2,0,0.077,65.000,2743.635,5476,856
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea74.g2,0,0.767,65.000,120.499,5476,86
"A*",Manhattan,./src/resources/graphes/g2/g2Alea75.g2,0,-1.000,Infinity,21.744,5625,44
"A*",euclidienne,./src/resources/graphes/g2/g2Alea75.g2,0,-1.000,Infinity,52.888,5625,79
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea75.g2,0,-1.000,Infinity,9.179,5625,57
"A*",Manhattan,./src/resources/graphes/g2/g2Alea76.g2,0,0.246,52.000,395.702,5776,207
"A*",euclidienne,./src/resources/graphes/g2/g2Alea76.g2,0,0.107,52.000,1265.969,5776,476
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea76.g2,0,0.554,52.000,116.892,5776,92
"A*",Manhattan,./src/resources/graphes/g2/g2Alea77.g2,0,0.196,30.000,171.545,5929,148
"A*",euclidienne,./src/resources/graphes/g2/g2Alea77.g2,0,0.150,30.000,249.217,5929,193
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea77.g2,0,0.633,30.000,52.419,5929,49
"A*",Manhattan,./src/resources/graphes/g2/g2Alea78.g2,0,-1.000,Infinity,1047.099,6084,402
"A*",euclidienne,./src/resources/graphes/g2/g2Alea78.g2,0,-1.000,Infinity,854.417,6084,402
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea78.g2,0,-1.000,Infinity,703.730,6084,402
"A*",Manhattan,./src/resources/graphes/g2/g2Alea79.g2,0,-1.000,Infinity,3757.236,6241,731
"A*",euclidienne,./src/resources/graphes/g2/g2Alea79.g2,0,-1.000,Infinity,10719.115,6241,1205
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea79.g2,0,-1.000,Infinity,3171.557,6241,579
"A*",Manhattan,./src/resources/graphes/g2/g2Alea80.g2,0,0.300,20.000,53.746,6400,70
"A*",euclidienne,./src/resources/graphes/g2/g2Alea80.g2,0,0.223,20.000,55.167,6400,94
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea80.g2,0,0.636,20.000,11.308,6400,33
"A*",Manhattan,./src/resources/graphes/g2/g2Alea81.g2,0,-1.000,Infinity,125.920,6561,117
"A*",euclidienne,./src/resources/graphes/g2/g2Alea81.g2,0,-1.000,Infinity,93.392,6561,142
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea81.g2,0,-1.000,Infinity,143.221,6561,113
"A*",Manhattan,./src/resources/graphes/g2/g2Alea82.g2,0,-1.000,Infinity,4.612,6724,1
"A*",euclidienne,./src/resources/graphes/g2/g2Alea82.g2,0,-1.000,Infinity,3.854,6724,1
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea82.g2,0,-1.000,Infinity,2.488,6724,1
"A*",Manhattan,./src/resources/graphes/g2/g2Alea83.g2,0,-1.000,Infinity,18.513,6889,18
"A*",euclidienne,./src/resources/graphes/g2/g2Alea83.g2,0,-1.000,Infinity,12.280,6889,15
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea83.g2,0,-1.000,Infinity,9.744,6889,26
"A*",Manhattan,./src/resources/graphes/g2/g2Alea84.g2,0,-1.000,Infinity,231.013,7056,170
"A*",euclidienne,./src/resources/graphes/g2/g2Alea84.g2,0,-1.000,Infinity,637.192,7056,316
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea84.g2,0,-1.000,Infinity,120.501,7056,155
"A*",Manhattan,./src/resources/graphes/g2/g2Alea85.g2,0,0.162,48.000,394.945,7225,277
"A*",euclidienne,./src/resources/graphes/g2/g2Alea85.g2,0,0.110,48.000,733.635,7225,410
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea85.g2,0,0.533,48.000,100.945,7225,92
"A*",Manhattan,./src/resources/graphes/g2/g2Alea86.g2,0,0.307,83.000,1227.128,7396,267
"A*",euclidienne,./src/resources/graphes/g2/g2Alea86.g2,0,0.081,83.000,6150.857,7396,1007
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea86.g2,0,0.866,83.000,171.304,7396,97
"A*",Manhattan,./src/resources/graphes/g2/g2Alea87.g2,0,0.095,108.000,12442.840,7569,1132
"A*",euclidienne,./src/resources/graphes/g2/g2Alea87.g2,0,0.060,108.000,26444.360,7569,1787
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea87.g2,0,0.424,108.000,1176.537,7569,257
"A*",Manhattan,./src/resources/graphes/g2/g2Alea88.g2,0,0.133,61.000,940.159,7744,451
"A*",euclidienne,./src/resources/graphes/g2/g2Alea88.g2,0,0.098,61.000,1565.766,7744,610
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea88.g2,0,0.150,61.000,683.001,7744,414
"A*",Manhattan,./src/resources/graphes/g2/g2Alea89.g2,0,-1.000,Infinity,4003.300,7921,416
"A*",euclidienne,./src/resources/graphes/g2/g2Alea89.g2,0,-1.000,Infinity,3303.392,7921,416
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea89.g2,0,-1.000,Infinity,4120.969,7921,416
"A*",Manhattan,./src/resources/graphes/g2/g2Alea90.g2,0,-1.000,Infinity,13.024,8100,20
"A*",euclidienne,./src/resources/graphes/g2/g2Alea90.g2,0,-1.000,Infinity,13.524,8100,20
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea90.g2,0,-1.000,Infinity,10.231,8100,20
"A*",Manhattan,./src/resources/graphes/g2/g2Alea91.g2,0,-1.000,Infinity,3984.874,8281,801
